"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Cell Type","Page Size","ECC Requirement","Bus Width","Sequential Read Speed (ns)","Packages","Temperature Range"
"mxic","NAND Flash-SLC NAND","MX60LF8G18AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX60LF8G18AC","http://www.macronix.com/Lists/Datasheet/Attachments/2676/MX60LF8G18AC, 3V, 8Gb, v1.0.pdf","8Gb","Production, for new design","2.7V-3.6V","SLC","2KB","4-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX60LF8G28AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX60LF8G28AB","http://www.macronix.com/Lists/Datasheet/Attachments/2671/MX60LF8G28AB, 3V, 8Gb, v1.0.pdf","8Gb","Production","2.7V-3.6V","SLC","2KB","8-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF4G18AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF4G18AC","http://www.macronix.com/Lists/Datasheet/Attachments/2687/MX30LF4G18AC, 3V, 4Gb, v1.3.pdf","4Gb","Production, for new design","2.7V-3.6V","SLC","2KB","4-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF4G16(18)AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF4G16(18)AB","http://www.macronix.com/Lists/Datasheet/Attachments/2675/MX30UF4G16(18)AB, 1.8V, 4Gb, v1.2.pdf","4Gb","Production, for new design","1.7V-1.95V","SLC","2KB","4-bit ECC","x16","25","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF4G28AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF4G28AB","http://www.macronix.com/Lists/Datasheet/Attachments/2673/MX30LF4G28AB, 3V, 4Gb, v1.2.pdf","4Gb","Production","2.7V-3.6V","SLC","2KB","8-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF4GE8AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF4GE8AB","http://www.macronix.com/Lists/Datasheet/Attachments/2682/MX30LF4GE8AB, 3V, 4Gb, v1.1.pdf","4Gb","Production","2.7V-3.6V","SLC","2KB","ECC-free","x8","20","48-TSOP","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF4G26(28)AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF4G26(28)AB","http://www.macronix.com/Lists/Datasheet/Attachments/2669/MX30UF4G26(28)AB, 1.8V, 4Gb, v1.0.pdf","4Gb","Production","1.7V-1.95V","SLC","2KB","8-bit ECC","x16","25","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF4GE8AB","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF4GE8AB","http://www.macronix.com/Lists/Datasheet/Attachments/2679/MX30UF4GE8AB, 1.8V, 4Gb, v1.0.pdf","4Gb","Production","1.7V-1.95V","SLC","2KB","ECC-free","x8","25","63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30LF2G18AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30LF2G18AC","http://www.macronix.com/Lists/Datasheet/Attachments/2686/MX30LF2G18AC, 3V, 2Gb, v1.3.pdf","2Gb","Production, for new design","2.7V-3.6V","SLC","2KB","4-bit ECC","x8","20","48-TSOP 63-VFBGA","-40℃ to +85℃"," "
"mxic","NAND Flash-SLC NAND","MX30UF2G16AC","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX30UF2G16AC","http://www.macronix.com/Lists/Datasheet/Attachments/2684/MX30UF2G16AC, 1.8V, 2Gb, v1.0.pdf","2Gb","Production, for new design","1.7V-1.95V","SLC","2KB","4-bit ECC","x16","25","48-VFBGA","-40℃ to +85℃"," "
